"{""ObjectName"":""Tab"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,label,logo,type,properties,objectId,description,pageId,webURL,bpId,layoutId,websiteId,reportId,showRegion,openWay,showDeviceType,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode,visibility,belongTo
string,string,string,string,string,clob,string,string,string,string,string,string,string,string,numeric,numeric,string,string,date,string,date,date,date,bool,string,string,bool,numeric,numeric,string
001g0000015C7ja2L7Tc,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:17,10gd00000150QfGpNugy,2023-07-25 02:33:17,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7javyUyG,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:17,10gd00000150QfGpNugy,2023-07-25 02:33:17,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7m9uC8US,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:52,10gd00000150QfGpNugy,2023-07-25 02:33:52,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mAN9Dl2,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:52,10gd00000150QfGpNugy,2023-07-25 02:33:52,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mBmI4gq,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:52,10gd00000150QfGpNugy,2023-07-25 02:33:52,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mBuo2am,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:52,10gd00000150QfGpNugy,2023-07-25 02:33:52,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mC7IOJd,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:53,10gd00000150QfGpNugy,2023-07-25 02:33:53,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mCQJW1w,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:53,10gd00000150QfGpNugy,2023-07-25 02:33:53,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mD7k8vo,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:53,10gd00000150QfGpNugy,2023-07-25 02:33:53,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mFSDy8e,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:53,10gd00000150QfGpNugy,2023-07-25 02:33:53,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mFTMMeu,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:53,10gd00000150QfGpNugy,2023-07-25 02:33:53,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mFWlYDg,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:53,10gd00000150QfGpNugy,2023-07-25 02:33:53,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mFcj7x2,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:53,10gd00000150QfGpNugy,2023-07-25 02:33:53,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
001g0000015C7mFfqiNk,NPNM__equipment_fix_management_equipmentManage,设备管理,menuicon icon-app,ViewTab,NULL,NULL,NULL,NULL,NPNM__equipmentManage,NULL,NULL,NULL,NULL,0,0,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:53,10gd00000150QfGpNugy,2023-07-25 02:33:53,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,1,0,NULL
