"{""ObjectName"":""Menu"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,label,logo,appId,sequenceNo,tabId,parentMenu,isLeaf,description,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode,visibility,belongTo
string,string,string,string,string,numeric,string,string,bool,string,string,date,string,date,date,date,bool,string,string,bool,numeric,numeric,string
001u0000015C7mWpA5dQ,equipmentManage,设备管理,menuicon icon-test,000f0000015234yx8KY4,0,001g0000015C7iNulNb6,NULL,true,NULL,10gd00000150QfGpNugy,2023-07-25 02:33:57,10gd00000150QfGpNugy,2023-07-26 03:13:48,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001u0000015C8BkvlyKW,workOrderList,工单列表（客服人员）,menuicon icon-service,000f0000015234yx8KY4,3,001g0000015C8BkPhIdE,NULL,true,NULL,10gd00000150QfGpNugy,2023-07-25 02:39:39,10gd00000150QfGpNugy,2023-07-26 03:12:32,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001u0000015C8F9rioAy,manageWorkOrderList,工单管理,menuicon icon-memo,000f0000015234yx8KY4,2,001g0000015C8F9KnL5U,NULL,true,NULL,10gd00000150QfGpNugy,2023-07-25 02:40:25,10gd00000150QfGpNugy,2023-07-27 08:18:42,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001u0000015C8Iw8T60G,dispatchWorkOrder,工单列表（派单员）,menuicon icon-deliver,000f0000015234yx8KY4,4,001g0000015C8Ivcg1R2,NULL,true,NULL,10gd00000150QfGpNugy,2023-07-25 02:41:16,10gd00000150QfGpNugy,2023-07-26 03:12:14,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001u0000015C8MedJueO,workOrderListM,工单列表（维修人员）,menuicon icon-search,000f0000015234yx8KY4,5,001g0000015C8Me6ORYu,NULL,true,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:06,10gd00000150QfGpNugy,2023-07-26 03:12:44,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001u0000015C8QTVZxUO,monitor,设备监控,menuicon icon-computer,000f0000015234yx8KY4,1,001g0000015C8QSyMtGq,NULL,true,NULL,10gd00000150QfGpNugy,2023-07-25 02:42:58,10gd00000150QfGpNugy,2023-07-26 03:11:15,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
001u0000015Dp2JGWoN6,addUser,新增用户,menuicon icon-personal,000f0000015234yx8KY4,6,001g0000015Dp2IXgBou,NULL,true,NULL,10gd00000150QfGpNugy,2023-07-26 03:06:51,10gd00000150QfGpNugy,2023-07-26 03:13:30,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
